person_id,company_id,company_name,role_title,contact_type,person_name,verification_status,search_query_url,hiring_power_score,notes
P012,C007,Toyota Motor North America,TBD — Cloud Security Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=Toyota%20cloud%20security%20manager%20Plano,80,Connected vehicle security themes relevant
P013,C007,Toyota Motor North America,TBD — Enterprise Systems Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=Toyota%20Motor%20North%20America%20technology%20Plano,40,Informational only
P014,C008,AT&T,TBD — Technology Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=AT%26T%20technology%20recruiter%20Dallas,65,Large employer; many parallel reqs
P015,C008,AT&T,TBD — Network/Cloud Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=AT%26T%20cloud%20engineering%20manager%20Dallas,82,Network modernization alignment
P016,C008,AT&T,TBD — Operations Technology Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=AT%26T%20operations%20technology%20analyst,42,Understand team structure first
P017,C010,NTT DATA,TBD — Technology Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=NTT%20DATA%20technology%20recruiter%20Plano,62,Plano hub; verify current role before outreach
P018,C010,NTT DATA,TBD — Cloud/Security Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=NTT%20DATA%20cloud%20security%20manager%20Plano,82,Client delivery context; target after recruiter screen
P019,C010,NTT DATA,TBD — Technology Analyst Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=NTT%20DATA%20technology%20analyst%20Plano,43,Informational only; no referral assumptions
P020,C013,Deloitte,TBD — Technology Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=Deloitte%20technology%20recruiter%20Dallas,60,Consulting practice varies; verify team alignment
P021,C013,Deloitte,TBD — Risk Advisory Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=Deloitte%20technology%20risk%20manager%20Dallas,83,High priority for risk advisory roles
P022,C013,Deloitte,TBD — Consulting Technology Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=Deloitte%20technology%20analyst%20Dallas,44,Learn engagement model before applying
P023,C017,Oracle,TBD — Cloud Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=Oracle%20cloud%20recruiter%20Texas,58,Confirm Texas role location (Austin vs remote)
P024,C017,Oracle,TBD — Cloud Engineering Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=Oracle%20cloud%20engineering%20manager%20Texas,80,OCI and cloud platform themes relevant
P025,C017,Oracle,TBD — Data/Cloud Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=Oracle%20data%20analyst%20Texas,41,Informational only
P026,C022,American Airlines,TBD — Technology Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=American%20Airlines%20technology%20recruiter%20Fort%20Worth,64,DFW HQ; strong sponsorship signal
P027,C022,American Airlines,TBD — Cybersecurity Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=American%20Airlines%20cybersecurity%20manager%20Fort%20Worth,84,Aviation enterprise security themes
P028,C022,American Airlines,TBD — Operations Technology Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=American%20Airlines%20technology%20analyst%20Fort%20Worth,43,Informational only
P029,C024,McKesson,TBD — Healthcare Tech Recruiter,recruiter,TBD Recruiter,placeholder,https://www.linkedin.com/search/results/people/?keywords=McKesson%20technology%20recruiter%20Irving,57,Healthcare domain; verify Irving campus roles
P030,C024,McKesson,TBD — Data/Security Hiring Manager,hiring_manager,TBD Hiring Manager,placeholder,https://www.linkedin.com/search/results/people/?keywords=McKesson%20data%20engineering%20manager%20Irving,81,Healthcare supply chain analytics alignment
P031,C024,McKesson,TBD — Enterprise Systems Peer,peer,TBD Peer,placeholder,https://www.linkedin.com/search/results/people/?keywords=McKesson%20technology%20analyst%20Irving,42,Informational only
