company_id,rank,company_name,location,industry,priority_tier,sponsor_signal,h1b_confidence,dfw_fit,role_fit,networking_roi
C027,27,Raytheon / RTX,McKinney / Richardson,Defense + Aerospace Tech,Tier 2 - strong DFW / sponsorship constraints,DFW defense presence; sponsorship may be restricted,2,5,4,3
C028,28,BNSF Railway,Fort Worth,Transportation + Tech Operations,Tier 2 - DFW HQ / verify sponsorship,DFW HQ; DOL/USCIS validation needed,3,5,4,4
C029,29,GM Financial,Fort Worth,FinTech + Auto Finance,Tier 2 - DFW HQ / verify sponsorship,DFW HQ; sponsor verification needed,3,5,5,4
C030,30,Sabre,Southlake,Travel Tech,Tier 2 - DFW tech / verify sponsorship,DFW technology company; sponsor verification needed,3,5,5,4
C031,31,Alkami Technology,Plano,FinTech SaaS,Tier 2 - DFW tech / verify sponsorship,Plano fintech; sponsor verification needed,3,5,5,4
C032,32,Tyler Technologies,Plano,GovTech SaaS,Tier 2 - DFW tech / verify sponsorship,Plano HQ; sponsor verification needed,3,5,4,4
C033,33,State Farm,Richardson,Insurance + Enterprise Tech,Tier 2 - DFW hub / verify sponsorship,Large Richardson presence; sponsor verification needed,3,5,4,4
C034,34,Liberty Mutual,Plano,Insurance + Tech,Tier 2 - DFW hub / verify sponsorship,Plano top employer; sponsor verification needed,3,5,4,4
C035,35,PepsiCo / Frito-Lay,Plano,Consumer Goods + Supply Chain Tech,Tier 2 - DFW hub / verify sponsorship,Plano top employer; sponsor verification needed,3,5,4,4
C036,36,Wells Fargo,Irving / Dallas,Finance + Risk + Technology,Tier 2 - strong finance / verify DFW,Sponsor history likely via DOL; DFW presence; validate current roles,4,4,5,4
C037,37,Morgan Stanley,Dallas,Finance + Technology,Tier 2 - future expansion / verify roles,Dallas expansion news; sponsor validation needed,4,4,5,4
C038,38,Nasdaq,Dallas,Exchange + FinTech,Tier 2 - emerging DFW / verify sponsorship,Dallas regional HQ signal; sponsor validation needed,3,4,5,4
C039,39,NYSE Texas / Intercontinental Exchange,Dallas,Exchange + Capital Markets Tech,Tier 2 - emerging DFW / verify sponsorship,NYSE Texas opened/leased Dallas presence; sponsor validation needed,3,4,5,4
C040,40,Siemens Industry Software,Plano / Texas,Industrial Software,Tier 2 - sponsor / tech fit,Texas top H-1B employer list,5,3,5,4
C041,41,NXP USA,Dallas / Austin,Semiconductor + Embedded Systems,Tier 2 - sponsor / tech fit,Texas top H-1B employer list,5,3,4,4
C042,42,Indeed,Austin / Texas / Remote,HR Tech + Data,Tier 2 - sponsor / TX,Texas top H-1B employer list,5,2,5,4
C043,43,UT Southwestern Medical Center,Dallas,Healthcare + Research Tech,Tier 2 - sponsor / local,Texas top H-1B employer list; Dallas institution,5,5,4,3
C044,44,Dallas Independent School District,Dallas,Education + IT,Tier 3 - local / sponsor signal,Texas top H-1B employer list; Dallas local,4,5,3,3
C045,45,Baylor College of Medicine / Baylor Scott & White ecosystem,Dallas / Texas,Healthcare + Research Tech,Tier 2 - sponsor / healthcare,Texas top H-1B employer list for Baylor College of Medicine; DFW healthcare ecosystem,4,4,4,3
C046,46,Fluor Corporation,Irving,Engineering + Construction Tech,Tier 2 - DFW HQ / verify sponsorship,DFW Fortune/HQ; sponsor validation needed,3,5,4,3
C047,47,Jacobs Solutions,Dallas,Engineering + Tech Consulting,Tier 2 - DFW HQ / verify sponsorship,DFW Fortune/HQ; sponsor validation needed,3,5,4,3
C048,48,Kimberly-Clark,Irving,Consumer Goods + Enterprise Tech,Tier 2 - DFW HQ / verify sponsorship,DFW Fortune/HQ; sponsor validation needed,3,5,4,3
C049,49,Celanese,Irving,Chemicals + Data/IT,Tier 3 - DFW HQ / verify sponsorship,DFW Fortune/HQ; sponsor validation needed,3,5,3,3
C050,50,Vistra,Irving,Energy + Data/IT/Security,Tier 3 - DFW HQ / verify sponsorship,DFW Fortune/HQ; sponsor validation needed,3,5,4,3
