company_id,company_name,industry,headquarters_region,dfw_presence,strategic_summary,tech_stack_themes,growth_signals,risk_factors,sponsorship_context,priority_tier,last_updated,business_model,major_business_units,current_strategic_themes,technology_themes,ai_data_cloud_security_themes,recent_projects_or_initiatives,known_platforms_or_tools,why_they_hire_tech_roles,common_role_families,sponsorship_signal_summary,source_urls
C011,Samsung Electronics America / Samsung Austin Semiconductor,Electronics + Semiconductor,Seoul / Plano,Plano / Austin,Samsung Electronics America / Samsung Austin Semiconductor (Plano / Austin): Software-defined vehicles; EV platforms; connected mobility; supply chain digitization. DFW presence supports technology hiring in target role families.,Embedded systems;telematics;cloud data platforms;ERP,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list; Plano Samsung employer signal,Tier 1 - attack first,2026-07-04,Vehicle manufacturing and mobility services revenue with growing software-defined vehicle and connected services segments.,Manufacturing; connected services; finance; supply chain; enterprise IT,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Embedded systems; telematics; cloud data platforms; ERP,Vehicle cybersecurity; predictive analytics; cloud security; IoT data,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; SAP; Python; embedded Linux; SIEM,"Build connected vehicle platforms, secure automotive software supply chains, and digitize manufacturing.",Software Engineer; Cybersecurity Analyst; Data Analyst; Cloud Engineer; Business Systems Analyst,Texas top H-1B employer list; Plano Samsung employer signal H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.samsung.com/us/careers/,https://news.samsung.com/us,https://research.samsung.com,https://www.dol.gov/agencies/eta/foreign-labor"
C012,KPMG,Consulting + Risk + Cyber,Global / Dallas,Dallas,KPMG (Dallas): Client digital transformation; cloud migration; cyber resilience; AI advisory. DFW presence supports technology hiring in target role families.,Cloud platforms;ERP modernization;data analytics;agile delivery,Client digital transformation; cloud migration; cyber resilience; AI advisory,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list,Tier 1 - attack first,2026-07-04,"Professional services revenue from client engagements across strategy, technology implementation, audit, and risk advisory.",Consulting; advisory; audit; tax; technology delivery practices,Client digital transformation; cloud migration; cyber resilience; AI advisory,Cloud platforms; ERP modernization; data analytics; agile delivery,GenAI governance; cloud security; data mesh; identity management,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; GCP; Salesforce; SAP; Python; Power BI,Staff client-facing delivery teams for enterprise transformation and managed security programs.,Technology Consultant; Cloud Analyst; Cybersecurity Analyst; Data Analyst; Platform Engineer,Texas top H-1B employer list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.kpmg.com/us/en/careers.html,https://kpmg.com/us/en/media/news.html,https://kpmg.com/us/en/capabilities-services/advisory-services/technology.html,https://www.dol.gov/agencies/eta/foreign-labor"
C013,Deloitte,Consulting + Technology,Global / Dallas,Dallas,Deloitte (Dallas): Client digital transformation; cloud migration; cyber resilience; AI advisory. DFW presence supports technology hiring in target role families.,Cloud platforms;ERP modernization;data analytics;agile delivery,Client digital transformation; cloud migration; cyber resilience; AI advisory,Role location verification; competitive hiring; sponsorship varies by team,Large DFW consulting presence; DOL/USCIS verification needed,Tier 1 - attack first,2026-07-04,"Professional services revenue from client engagements across strategy, technology implementation, audit, and risk advisory.",Consulting; advisory; audit; tax; technology delivery practices,Client digital transformation; cloud migration; cyber resilience; AI advisory,Cloud platforms; ERP modernization; data analytics; agile delivery,GenAI governance; cloud security; data mesh; identity management,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; GCP; Salesforce; SAP; Python; Power BI,Staff client-facing delivery teams for enterprise transformation and managed security programs.,Technology Consultant; Cloud Analyst; Cybersecurity Analyst; Data Analyst; Platform Engineer,Large DFW consulting presence; DOL/USCIS verification needed H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://apply.deloitte.com,https://www2.deloitte.com/us/en/pages/about-deloitte/articles/press-releases.html,https://www2.deloitte.com/us/en/pages/technology/articles/deloitte-on-technology.html,https://www.dol.gov/agencies/eta/foreign-labor"
C014,Accenture,Technology Consulting,Global / Dallas,Dallas,Accenture (Dallas): Client digital transformation; cloud migration; cyber resilience; AI advisory. DFW presence supports technology hiring in target role families.,Cloud platforms;ERP modernization;data analytics;agile delivery,Client digital transformation; cloud migration; cyber resilience; AI advisory,Role location verification; competitive hiring; sponsorship varies by team,Major H-1B employer historically; DOL/USCIS verification needed for Dallas,Tier 1 - attack first,2026-07-04,"Professional services revenue from client engagements across strategy, technology implementation, audit, and risk advisory.",Consulting; advisory; audit; tax; technology delivery practices,Client digital transformation; cloud migration; cyber resilience; AI advisory,Cloud platforms; ERP modernization; data analytics; agile delivery,GenAI governance; cloud security; data mesh; identity management,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; GCP; Salesforce; SAP; Python; Power BI,Staff client-facing delivery teams for enterprise transformation and managed security programs.,Technology Consultant; Cloud Analyst; Cybersecurity Analyst; Data Analyst; Platform Engineer,Major H-1B employer historically; DOL/USCIS verification needed for Dallas H-1B employer signal confidence 4/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.accenture.com/us-en/careers,https://newsroom.accenture.com,https://www.accenture.com/us-en/services/cloud,https://www.dol.gov/agencies/eta/foreign-labor"
C015,Cognizant,IT Services + AI Builder,Global / DFW,DFW / Texas client sites,Cognizant (DFW / Texas client sites): AI-led modernization; cloud-native delivery; industry-specific platforms. DFW presence supports technology hiring in target role families.,Hybrid cloud;DevOps;microservices;data engineering,AI-led modernization; cloud-native delivery; industry-specific platforms,Role location verification; competitive hiring; sponsorship varies by team,Texas #1 H-1B employer in cited list,Tier 1 - attack first,2026-07-04,"IT services and outsourcing revenue from application development, cloud migration, and managed services for enterprise clients.",Digital engineering; cloud; data and AI; enterprise applications; consulting,AI-led modernization; cloud-native delivery; industry-specific platforms,Hybrid cloud; DevOps; microservices; data engineering,ML ops; cloud security posture; automation; analytics at scale,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Kubernetes; Java; Python; Snowflake,"Deliver client programs requiring scalable engineering, data, and security talent in DFW delivery centers.",Technology Analyst; Cloud Engineer; Data Analyst; Security Engineer; DevOps Engineer,Texas #1 H-1B employer in cited list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.cognizant.com,https://news.cognizant.com,https://www.cognizant.com/us/en/services/cloud-solutions,https://www.dol.gov/agencies/eta/foreign-labor"
C016,Infosys,IT Services + Consulting,India / Richardson,Richardson / Texas client sites,Infosys (Richardson / Texas client sites): AI-led modernization; cloud-native delivery; industry-specific platforms. DFW presence supports technology hiring in target role families.,Hybrid cloud;DevOps;microservices;data engineering,AI-led modernization; cloud-native delivery; industry-specific platforms,Role location verification; competitive hiring; sponsorship varies by team,Texas #2 H-1B employer in cited list,Tier 1 - attack first,2026-07-04,"IT services and outsourcing revenue from application development, cloud migration, and managed services for enterprise clients.",Digital engineering; cloud; data and AI; enterprise applications; consulting,AI-led modernization; cloud-native delivery; industry-specific platforms,Hybrid cloud; DevOps; microservices; data engineering,ML ops; cloud security posture; automation; analytics at scale,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Kubernetes; Java; Python; Snowflake,"Deliver client programs requiring scalable engineering, data, and security talent in DFW delivery centers.",Technology Analyst; Cloud Engineer; Data Analyst; Security Engineer; DevOps Engineer,Texas #2 H-1B employer in cited list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.infosys.com,https://www.infosys.com/newsroom.html,https://www.infosys.com/services/cloud-computing.html,https://www.dol.gov/agencies/eta/foreign-labor"
C017,Oracle,Cloud + Enterprise Software,Austin / Texas,Austin / Texas + cloud roles,Oracle (Austin / Texas + cloud roles): Digital transformation; cloud migration; data-driven operations; cybersecurity. DFW presence supports technology hiring in target role families.,Cloud;ERP;analytics;automation;platform engineering,Digital transformation; cloud migration; data-driven operations; cybersecurity,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list,Tier 2 - strong sponsor / verify DFW,2026-07-04,"Diversified enterprise revenue with technology enabling operations, customer experience, and product innovation.",Core business lines; shared services; technology; operations,Digital transformation; cloud migration; data-driven operations; cybersecurity,Cloud; ERP; analytics; automation; platform engineering,AI automation; data platforms; cloud security; GRC,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Python; SQL; SAP; ServiceNow,"Support enterprise platforms, analytics, and security for DFW headquarters and regional operations.",Technology Analyst; Data Analyst; Security Engineer; Cloud Analyst; Platform Engineer,Texas top H-1B employer list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.oracle.com,https://www.oracle.com/news/,https://blogs.oracle.com/,https://www.dol.gov/agencies/eta/foreign-labor"
C018,Tesla,Automotive + AI + Manufacturing,Austin / Texas,Austin / North Texas optional,Tesla (Austin / North Texas optional): Software-defined vehicles; EV platforms; connected mobility; supply chain digitization. DFW presence supports technology hiring in target role families.,Embedded systems;telematics;cloud data platforms;ERP,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list,Tier 2 - TX sponsor / DFW uncertain,2026-07-04,Vehicle manufacturing and mobility services revenue with growing software-defined vehicle and connected services segments.,Manufacturing; connected services; finance; supply chain; enterprise IT,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Embedded systems; telematics; cloud data platforms; ERP,Vehicle cybersecurity; predictive analytics; cloud security; IoT data,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; SAP; Python; embedded Linux; SIEM,"Build connected vehicle platforms, secure automotive software supply chains, and digitize manufacturing.",Software Engineer; Cybersecurity Analyst; Data Analyst; Cloud Engineer; Business Systems Analyst,Texas top H-1B employer list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://www.tesla.com/careers,https://www.tesla.com/blog,https://www.tesla.com/AI,https://www.dol.gov/agencies/eta/foreign-labor"
C019,Hewlett Packard Enterprise,Enterprise Cloud + Infrastructure,Houston / Plano,Plano / Texas,Hewlett Packard Enterprise (Plano / Texas): Digital transformation; cloud migration; data-driven operations; cybersecurity. DFW presence supports technology hiring in target role families.,Cloud;ERP;analytics;automation;platform engineering,Digital transformation; cloud migration; data-driven operations; cybersecurity,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list,Tier 2 - strong sponsor / verify roles,2026-07-04,"Diversified enterprise revenue with technology enabling operations, customer experience, and product innovation.",Core business lines; shared services; technology; operations,Digital transformation; cloud migration; data-driven operations; cybersecurity,Cloud; ERP; analytics; automation; platform engineering,AI automation; data platforms; cloud security; GRC,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Python; SQL; SAP; ServiceNow,"Support enterprise platforms, analytics, and security for DFW headquarters and regional operations.",Technology Analyst; Data Analyst; Security Engineer; Cloud Analyst; Platform Engineer,Texas top H-1B employer list H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.hpe.com,https://www.hpe.com/us/en/newsroom.html,https://www.hpe.com/us/en/solutions/cloud.html,https://www.dol.gov/agencies/eta/foreign-labor"
C020,Dell Technologies / Dell USA / Dell Products,Enterprise Infrastructure,Round Rock / Texas,Round Rock / Texas; DFW ecosystem,Dell Technologies / Dell USA / Dell Products (Round Rock / Texas; DFW ecosystem): Digital transformation; cloud migration; data-driven operations; cybersecurity. DFW presence supports technology hiring in target role families.,Cloud;ERP;analytics;automation;platform engineering,Digital transformation; cloud migration; data-driven operations; cybersecurity,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list includes Dell entities and EMC,Tier 2 - strong sponsor / TX,2026-07-04,"Diversified enterprise revenue with technology enabling operations, customer experience, and product innovation.",Core business lines; shared services; technology; operations,Digital transformation; cloud migration; data-driven operations; cybersecurity,Cloud; ERP; analytics; automation; platform engineering,AI automation; data platforms; cloud security; GRC,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; Python; SQL; SAP; ServiceNow,"Support enterprise platforms, analytics, and security for DFW headquarters and regional operations.",Technology Analyst; Data Analyst; Security Engineer; Cloud Analyst; Platform Engineer,Texas top H-1B employer list includes Dell entities and EMC H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://jobs.dell.com,https://www.dell.com/en-us/dt/corporate/newsroom.htm,https://www.dell.com/en-us/blog/categories/artificial-intelligence/,https://www.dol.gov/agencies/eta/foreign-labor"
C021,Texas Instruments,Semiconductor + Embedded + Data,Dallas HQ,Dallas / Richardson,Texas Instruments (Dallas / Richardson): Software-defined vehicles; EV platforms; connected mobility; supply chain digitization. DFW presence supports technology hiring in target role families.,Embedded systems;telematics;cloud data platforms;ERP,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Role location verification; competitive hiring; sponsorship varies by team,Texas top H-1B employer list; DFW HQ,Tier 1 - attack first,2026-07-04,Vehicle manufacturing and mobility services revenue with growing software-defined vehicle and connected services segments.,Manufacturing; connected services; finance; supply chain; enterprise IT,Software-defined vehicles; EV platforms; connected mobility; supply chain digitization,Embedded systems; telematics; cloud data platforms; ERP,Vehicle cybersecurity; predictive analytics; cloud security; IoT data,Digital transformation; Cloud and data platforms; Cybersecurity programs,AWS; Azure; SAP; Python; embedded Linux; SIEM,"Build connected vehicle platforms, secure automotive software supply chains, and digitize manufacturing.",Software Engineer; Cybersecurity Analyst; Data Analyst; Cloud Engineer; Business Systems Analyst,Texas top H-1B employer list; DFW HQ H-1B employer signal confidence 5/5 from sample research — validate per role via DOL LCA data; not legal advice.,"https://careers.ti.com,https://news.ti.com,https://www.ti.com/about-ti/company/technology.html,https://www.dol.gov/agencies/eta/foreign-labor"
