company,contact_type,search_query,LinkedIn_search_url,message_angle,notes
Cognizant,hiring_manager,Technology Risk Manager Sample Technology 44,"""Cognizant"" ""Technology Risk Manager"" ""DFW""",Reference business problem and portfolio project,Status: replied; Tier 1 - attack first
Cognizant,peer,Data Analyst Sample Data 45,"""Cognizant"" ""Data Analyst"" ""DFW""",Ask about day-to-day and team culture,Status: not_contacted; Tier 1 - attack first
Infosys,recruiter,University Recruiter Sample University 46,"""Infosys"" ""University Recruiter"" ""Richardson""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 1 - attack first
Infosys,hiring_manager,Cybersecurity Manager Sample Cybersecurity 47,"""Infosys"" ""Cybersecurity Manager"" ""Richardson""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Infosys,alumni,UNT Alumni - MIS Graduate Sample UNT 48,"""Infosys"" ""UNT Alumni - MIS Graduate"" ""Richardson""",Fellow alum connection and skills alignment,Status: not_contacted; Tier 1 - attack first
Oracle,recruiter,Talent Acquisition Partner Sample Talent 49,"""Oracle"" ""Talent Acquisition Partner"" ""Austin""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 2 - strong sponsor / verify DFW
Tesla,recruiter,Talent Acquisition Partner Sample Talent 50,"""Tesla"" ""Talent Acquisition Partner"" ""Austin""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - TX sponsor / DFW uncertain
Hewlett Packard Enterprise,recruiter,Talent Acquisition Partner Sample Talent 51,"""Hewlett Packard Enterprise"" ""Talent Acquisition Partner"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 2 - strong sponsor / verify roles
Dell Technologies / Dell USA / Dell Products,recruiter,University Recruiter Sample University 52,"""Dell Technologies / Dell USA / Dell Products"" ""University Recruiter"" ""Round Rock""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - strong sponsor / TX
Texas Instruments,recruiter,Technical Recruiter Sample Technical 53,"""Texas Instruments"" ""Technical Recruiter"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Texas Instruments,hiring_manager,Engineering Manager Sample Engineering 54,"""Texas Instruments"" ""Engineering Manager"" ""Dallas""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Texas Instruments,alumni,UNT Alumni - MIS Graduate Sample UNT 55,"""Texas Instruments"" ""UNT Alumni - MIS Graduate"" ""Dallas""",Fellow alum connection and skills alignment,Status: not_contacted; Tier 1 - attack first
American Airlines,recruiter,Talent Acquisition Partner Sample Talent 56,"""American Airlines"" ""Talent Acquisition Partner"" ""Fort Worth""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
American Airlines,hiring_manager,Data Platform Manager Sample Data 57,"""American Airlines"" ""Data Platform Manager"" ""Fort Worth""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
American Airlines,peer,Data Analyst Sample Data 58,"""American Airlines"" ""Data Analyst"" ""Fort Worth""",Ask about day-to-day and team culture,Status: replied; Tier 1 - attack first
Southwest Airlines,recruiter,Technical Recruiter Sample Technical 59,"""Southwest Airlines"" ""Technical Recruiter"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
Southwest Airlines,hiring_manager,Engineering Manager Sample Engineering 60,"""Southwest Airlines"" ""Engineering Manager"" ""Dallas""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
Southwest Airlines,alumni,UNT Alumni - MIS Graduate Sample UNT 61,"""Southwest Airlines"" ""UNT Alumni - MIS Graduate"" ""Dallas""",Fellow alum connection and skills alignment,Status: not_contacted; Tier 1 - attack first
McKesson,recruiter,Technical Recruiter Sample Technical 62,"""McKesson"" ""Technical Recruiter"" ""Irving""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 1 - attack first
McKesson,hiring_manager,Cybersecurity Manager Sample Cybersecurity 63,"""McKesson"" ""Cybersecurity Manager"" ""Irving""",Reference business problem and portfolio project,Status: not_contacted; Tier 1 - attack first
McKesson,alumni,UNT Alumni - MIS Graduate Sample UNT 64,"""McKesson"" ""UNT Alumni - MIS Graduate"" ""Irving""",Fellow alum connection and skills alignment,Status: replied; Tier 1 - attack first
CBRE,recruiter,Talent Acquisition Partner Sample Talent 65,"""CBRE"" ""Talent Acquisition Partner"" ""Dallas""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - DFW HQ / verify sponsorship
Lockheed Martin,recruiter,Technical Recruiter Sample Technical 66,"""Lockheed Martin"" ""Technical Recruiter"" ""Fort Worth""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 2 - strong DFW / sponsorship constraints
Raytheon / RTX,recruiter,Talent Acquisition Partner Sample Talent 67,"""Raytheon / RTX"" ""Talent Acquisition Partner"" ""McKinney""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - strong DFW / sponsorship constraints
BNSF Railway,recruiter,Talent Acquisition Partner Sample Talent 68,"""BNSF Railway"" ""Talent Acquisition Partner"" ""Fort Worth""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - DFW HQ / verify sponsorship
GM Financial,recruiter,Technical Recruiter Sample Technical 69,"""GM Financial"" ""Technical Recruiter"" ""Fort Worth""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - DFW HQ / verify sponsorship
Sabre,recruiter,Technical Recruiter Sample Technical 70,"""Sabre"" ""Technical Recruiter"" ""Southlake""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - DFW tech / verify sponsorship
Alkami Technology,recruiter,Talent Acquisition Partner Sample Talent 71,"""Alkami Technology"" ""Talent Acquisition Partner"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: messaged; Tier 2 - DFW tech / verify sponsorship
Tyler Technologies,recruiter,Talent Acquisition Partner Sample Talent 72,"""Tyler Technologies"" ""Talent Acquisition Partner"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: replied; Tier 2 - DFW tech / verify sponsorship
State Farm,recruiter,University Recruiter Sample University 73,"""State Farm"" ""University Recruiter"" ""Richardson""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - DFW hub / verify sponsorship
Liberty Mutual,recruiter,Technical Recruiter Sample Technical 74,"""Liberty Mutual"" ""Technical Recruiter"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: not_contacted; Tier 2 - DFW hub / verify sponsorship
PepsiCo / Frito-Lay,recruiter,University Recruiter Sample University 75,"""PepsiCo / Frito-Lay"" ""University Recruiter"" ""Plano""",Lead with OPT/EAD status and role-fit proof,Status: messaged; Tier 2 - DFW hub / verify sponsorship
